nconf;dreg;dtacc;dtfine;mp
245219;12/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
244564;11/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
244571;11/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
244577;11/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
244585;11/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
244594;11/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
244616;11/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
244519;11/10/2011;07/10/2011;14/10/2011;MP 02/028 rev. 9
244524;11/10/2011;07/10/2011;14/10/2011;MP 02/028 rev. 9
244531;11/10/2011;07/10/2011;14/10/2011;MP 02/028 rev. 9
244540;11/10/2011;07/10/2011;14/10/2011;MP 02/028 rev. 9
244547;11/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
244556;11/10/2011;11/10/2011;14/10/2011;MP 02/028 rev. 9
244470;11/10/2011;07/10/2011;14/10/2011;MP 02/028 rev. 9
244475;11/10/2011;07/10/2011;14/10/2011;MP 02/028 rev. 9
244478;11/10/2011;07/10/2011;14/10/2011;MP 02/028 rev. 9
244489;11/10/2011;07/10/2011;14/10/2011;MP 02/028 rev. 9
239071;06/10/2011;03/10/2011;06/10/2011;MP 02/028 rev. 9
259844;09/10/2012;05/10/2012;11/10/2012;MP 02/028 rev. 10
259852;09/10/2012;05/10/2012;11/10/2012;MP 02/028 rev. 10
259867;09/10/2012;05/10/2012;11/10/2012;MP 02/028 rev. 10
257251;05/10/2012;05/10/2012;11/10/2012;MP 02/028 rev. 10
257252;05/10/2012;05/10/2012;11/10/2012;MP 02/028 rev. 10
257254;05/10/2012;05/10/2012;11/10/2012;MP 02/028 rev. 10
257256;05/10/2012;05/10/2012;11/10/2012;MP 02/028 rev. 10
257260;05/10/2012;05/10/2012;11/10/2012;MP 02/028 rev. 10
259782;09/10/2012;05/10/2012;11/10/2012;MP 02/028 rev. 10
254440;03/10/2012;03/10/2012;04/10/2012;MP 02/028 rev. 10
254441;03/10/2012;03/10/2012;04/10/2012;MP 02/028 rev. 10
254445;03/10/2012;03/10/2012;04/10/2012;MP 02/028 rev. 10
254450;03/10/2012;03/10/2012;04/10/2012;MP 02/028 rev. 10
257243;05/10/2012;05/10/2012;11/10/2012;MP 02/028 rev. 10
257245;05/10/2012;05/10/2012;11/10/2012;MP 02/028 rev. 10
254129;03/10/2012;03/10/2012;04/10/2012;MP 02/028 rev. 10
254136;03/10/2012;03/10/2012;04/10/2012;MP 02/028 rev. 10
254407;03/10/2012;03/10/2012;04/10/2012;MP 02/028 rev. 10
254420;03/10/2012;03/10/2012;04/10/2012;MP 02/028 rev. 10
254426;03/10/2012;03/10/2012;04/10/2012;MP 02/028 rev. 10
254430;03/10/2012;03/10/2012;04/10/2012;MP 02/028 rev. 10
254093;03/10/2012;03/10/2012;04/10/2012;MP 02/028 rev. 10
254099;03/10/2012;03/10/2012;04/10/2012;MP 02/028 rev. 10
254103;03/10/2012;03/10/2012;04/10/2012;MP 02/028 rev. 10
254106;03/10/2012;03/10/2012;04/10/2012;MP 02/028 rev. 10
254117;03/10/2012;03/10/2012;04/10/2012;MP 02/028 rev. 10
254120;03/10/2012;03/10/2012;04/10/2012;MP 02/028 rev. 10
254056;03/10/2012;02/10/2012;04/10/2012;MP 02/028 rev. 10
254060;03/10/2012;03/10/2012;04/10/2012;MP 02/028 rev. 10
254064;03/10/2012;03/10/2012;04/10/2012;MP 02/028 rev. 10
254072;03/10/2012;03/10/2012;04/10/2012;MP 02/028 rev. 10
254079;03/10/2012;03/10/2012;04/10/2012;MP 02/028 rev. 10
254085;03/10/2012;03/10/2012;04/10/2012;MP 02/028 rev. 10
254031;03/10/2012;02/10/2012;04/10/2012;MP 02/028 rev. 10
254035;03/10/2012;02/10/2012;04/10/2012;MP 02/028 rev. 10
254041;03/10/2012;02/10/2012;04/10/2012;MP 02/028 rev. 10
254044;03/10/2012;02/10/2012;04/10/2012;MP 02/028 rev. 10
254047;03/10/2012;02/10/2012;04/10/2012;MP 02/028 rev. 10
250767;01/10/2012;28/09/2012;04/10/2012;MP 02/028 rev. 10
250771;01/10/2012;28/09/2012;04/10/2012;MP 02/028 rev. 10
250774;01/10/2012;28/09/2012;04/10/2012;MP 02/028 rev. 10
250778;01/10/2012;28/09/2012;04/10/2012;MP 02/028 rev. 10
247594;27/09/2012;26/09/2012;28/09/2012;MP 02/028 rev. 10
248380;28/09/2012;28/09/2012;28/09/2012;MP 02/028 rev. 10
248389;28/09/2012;28/09/2012;28/09/2012;MP 02/028 rev. 10
248394;28/09/2012;28/09/2012;28/09/2012;MP 02/028 rev. 10
248400;28/09/2012;28/09/2012;28/09/2012;MP 02/028 rev. 10
